Gemeentenaam,Gemeentecode,Gemeentenummer,Provincie,Provinciecode,Provincienummer,Veiligheidsregio,Veiligheidsregiocode,Veiligheidsregionummer,GGD_regio,GGD_regiocode,GGD_regionummer,Shape__Area,Shape__Length,Datum,Meldingen,Ziekenhuisopnamen,Overleden,Bevolkingsaantal,Meldingen_100000,Ziekenhuisopnamen_100000,Overleden_100000,ObjectId
Veenendaal,GM0345,345,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,19690651.6470718,19890.8757048337,1588550400000,152,47,10,66491,228.6,70.7,15,301
Veere,GM0717,717,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,142444160.024337,89428.5538098024,1588550400000,26,6,2,21885,118.8,27.4,9.1,302
Veldhoven,GM0861,861,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,31892677.9515877,28982.8220332471,1588550400000,120,29,16,45458,264,63.8,35.2,303
Velsen,GM0453,453,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,49966034.7791138,59568.0867610975,1588550400000,253,30,36,68660,368.5,43.7,52.4,304
Venlo,GM0983,983,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,128976983.213135,79215.9351229268,1588550400000,290,125,58,101797,284.9,122.8,57,305
Venray,GM0984,984,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,164996439.950768,65819.5502246735,1588550400000,99,37,17,43604,227,84.9,39,306
Vijfheerenlanden,GM1961,1961,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,153354219.438896,62491.4219545724,1588550400000,215,31,36,56816,378.4,54.6,63.4,307
Vlaardingen,GM0622,622,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,26656698.7500591,21668.3964120139,1588550400000,229,36,23,73445,311.8,49,31.3,308
Vlieland,GM0096,96,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,43494046.7125549,54417.3146069891,1588550400000,0,0,0,1152,0,0,0,309
Vlissingen,GM0718,718,Zeeland,PV29,29,Zeeland,VR19,19,GGD Zeeland,GG5006,5006,35223496.1575565,62781.5331877128,1588550400000,49,9,5,44365,110.4,20.3,11.3,310
Voerendaal,GM0986,986,Limburg,PV31,31,Zuid-Limburg,VR24,24,GGD Zuid-Limburg,GG6106,6106,31529596.0058556,26782.2108259236,1588550400000,43,17,7,12471,344.8,136.3,56.1,311
Voorschoten,GM0626,626,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,11535084.2522659,16204.0044034435,1588550400000,43,9,5,25603,167.9,35.2,19.5,312
Voorst,GM0285,285,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,126482659.224503,68359.5415972939,1588550400000,47,13,11,24546,191.5,53,44.8,313
Vught,GM0865,865,Noord-Brabant,PV30,30,Brabant-Noord,VR21,21,GGD Hart voor Brabant,GG5406,5406,34679988.542057,30762.1034648323,1588550400000,99,41,17,26554,372.8,154.4,64,314
Waadhoeke,GM1949,1949,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,290158764.96096,100138.783040498,1588550400000,88,11,10,46079,191,23.9,21.7,315
Waalre,GM0866,866,Noord-Brabant,PV30,30,Brabant-Zuidoost,VR22,22,GGD Brabant-Zuidoost,GG5608,5608,22666997.9735603,20585.9437866673,1588550400000,29,7,4,17454,166.2,40.1,22.9,316
Waalwijk,GM0867,867,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD Hart voor Brabant,GG5406,5406,67713766.2454033,41813.4955623896,1588550400000,140,27,30,48620,287.9,55.5,61.7,317
Waddinxveen,GM0627,627,Zuid-Holland,PV28,28,Hollands Midden,VR16,16,GGD Hollands-Midden,GG4506,4506,29401789.8420753,29859.8713212965,1588550400000,51,16,6,29293,174.1,54.6,20.5,318
Wageningen,GM0289,289,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,32404972.5918503,33760.8359858912,1588550400000,45,20,9,39673,113.4,50.4,22.7,319
Wassenaar,GM0629,629,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,52915790.2978096,32602.3340315386,1588550400000,45,8,10,26214,171.7,30.5,38.1,320
Waterland,GM0852,852,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,56439713.8831367,63034.433466775,1588550400000,30,15,3,17422,172.2,86.1,17.2,321
Weert,GM0988,988,Limburg,PV31,31,Limburg-Noord,VR23,23,GGD Limburg-Noord,GG6011,6011,105520846.145218,49762.4239874371,1588550400000,125,65,11,50107,249.5,129.7,22,322
Weesp,GM0457,457,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,24152546.094738,26579.5430955121,1588550400000,70,9,5,19729,354.8,45.6,25.3,323
West Betuwe,GM1960,1960,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,229041811.502151,88372.8701649191,1588550400000,164,42,24,51198,320.3,82,46.9,324
West Maas en Waal,GM0668,668,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,85154171.8255119,47557.9128941368,1588550400000,76,17,8,19320,393.4,88,41.4,325
Westerkwartier,GM1969,1969,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,368758718.670921,97459.3316891016,1588550400000,57,14,4,63375,89.9,22.1,6.3,326
Westerveld,GM1701,1701,Drenthe,PV22,22,Drenthe,VR03,3,GGD Drente,GG0706,706,282761512.169823,97429.1169067391,1588550400000,32,9,3,19460,164.4,46.2,15.4,327
Westervoort,GM0293,293,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,7831564.76445007,14462.7331064972,1588550400000,33,12,5,14973,220.4,80.1,33.4,328
Westerwolde,GM1950,1950,Groningen,PV20,20,Groningen,VR01,1,GGD Groningen,GG0111,111,280618077.352539,102268.057028413,1588550400000,6,5,0,25796,23.3,19.4,0,329
Westland,GM1783,1783,Zuid-Holland,PV28,28,Haaglanden,VR15,15,GGD Haaglanden,GG7014,7014,83205347.9197826,54249.414693119,1588550400000,242,56,26,110357,219.3,50.7,23.6,330
Weststellingwerf,GM0098,98,Friesland,PV21,21,Fryslân,VR02,2,GGD Fryslân,GG7206,7206,228373253.201599,84585.3929436924,1588550400000,27,3,4,25916,104.2,11.6,15.4,331
Westvoorne,GM0614,614,Zuid-Holland,PV28,28,Rotterdam-Rijnmond,VR17,17,GGD Rotterdam-Rijnmond,GG4607,4607,58929659.6393108,42760.6904383256,1588550400000,25,7,0,14728,169.7,47.5,0,332
Wierden,GM0189,189,Overijssel,PV23,23,Twente,VR05,5,GGD Twente,GG1106,1106,95386986.1706924,54076.6289688284,1588550400000,45,4,5,24440,184.1,16.4,20.5,333
Wijchen,GM0296,296,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,69683728.060318,44267.5668113041,1588550400000,130,40,11,41124,316.1,97.3,26.7,334
Wijdemeren,GM1696,1696,Noord-Holland,PV27,27,Gooi en Vechtstreek,VR14,14,GGD Gooi en Vechtstreek,GG3606,3606,76339289.3928337,48905.8474414148,1588550400000,25,8,0,24360,102.6,32.8,0,335
Wijk bij Duurstede,GM0352,352,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,50435536.4325714,36892.8926968642,1588550400000,28,9,1,23910,117.1,37.6,4.2,336
Winterswijk,GM0294,294,Gelderland,PV25,25,Noord- en Oost-Gelderland,VR06,6,GGD Noord- en Oost-Gelderland,GG1413,1413,138854751.787727,52564.0051870518,1588550400000,39,5,3,28865,135.1,17.3,10.4,337
Woensdrecht,GM0873,873,Noord-Brabant,PV30,30,Midden- en West-Brabant,VR20,20,GGD West-Brabant,GG5206,5206,91979634.8992958,48253.0513022956,1588550400000,60,5,6,21883,274.2,22.8,27.4,338
Woerden,GM0632,632,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,92952335.9593582,50942.1880871584,1588550400000,143,47,16,52294,273.5,89.9,30.6,339
Wormerland,GM0880,880,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,45160090.4848862,30557.8764136949,1588550400000,42,20,6,16299,257.7,122.7,36.8,340
Woudenberg,GM0351,351,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,36808815.2483406,49542.1121580707,1588550400000,28,9,2,13362,209.5,67.4,15,341
Zaanstad,GM0479,479,Noord-Holland,PV27,27,Zaanstreek-Waterland,VR11,11,GGD Zaanstreek/Waterland,GG7306,7306,83238027.7155533,41760.1427661246,1588550400000,339,107,40,156711,216.3,68.3,25.5,342
Zaltbommel,GM0297,297,Gelderland,PV25,25,Gelderland-Zuid,VR08,8,GGD Gelderland-Zuid,GG2014,2014,89042961.6132469,58765.968690043,1588550400000,82,19,9,28901,283.7,65.7,31.1,343
Zandvoort,GM0473,473,Noord-Holland,PV27,27,Kennemerland,VR12,12,GGD Kennemerland,GG3109,3109,33874931.0541878,25501.3104279299,1588550400000,32,10,8,17116,187,58.4,46.7,344
Zeewolde,GM0050,50,Flevoland,PV24,24,Flevoland,VR25,25,GGD Flevoland,GG2209,2209,253309962.43119,85978.8271484511,1588550400000,37,11,4,22656,163.3,48.6,17.7,345
Zeist,GM0355,355,Utrecht,PV26,26,Utrecht,VR09,9,GGD regio Utrecht,GG2514,2514,48655464.9905739,44383.7077583573,1588550400000,140,34,16,64932,215.6,52.4,24.6,346
Zevenaar,GM0299,299,Gelderland,PV25,25,Gelderland-Midden,VR07,7,Veiligheids- en Gezondheidsregio Gelderland-Midden,GG1911,1911,106110892.403893,85485.3869346149,1588550400000,85,43,14,43740,194.3,98.3,32,347
